path	strict_decode	format	core_spec	total	sort	bvar	const	app	lam	pi	let
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractPolynomialFieldQuotient/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1156	5	43	17	473	254	364	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractRing/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1053	2	35	1	397	227	391	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractRingChineseRemainder/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	2119	9	59	46	1399	253	353	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractRingFirstIso/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1396	3	40	35	838	202	278	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractRingFirstIsoBase/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	2328	5	74	37	1233	450	529	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractScalarDerive/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	2191	1	39	19	1366	429	337	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractSplittingField/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1254	6	57	11	604	279	297	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractSquareNormalize/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	663	2	17	4	224	175	241	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractSubring/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	259	2	21	1	80	43	112	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractUfdPrimeFactorization/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	1475	3	24	25	658	327	438	0
npa-corpus/proofs/Proofs/Ai/Algebra/AbstractUnit/certificate.npcert	ok	NPA-CERT-0.3.0	NPA-Core-0.3.0	163	2	11	7	81	25	37	0
